E,N,Q,b,c,failures,independent_board,inst_reputations,num_trials,output,permitted_strategies,q,rep,reputation_norm,reputations,run_type,runs_per_trial,seed1,seed2,seed3,seed4,successes,u_a,u_p,u_s,w
0.0,50,1,5.0,1.0,89,true,0.5016,10,output/fixation_paper_multitype_final.csv,123,0.1,5,stern judging,0.5091920000000001,Disc,100,406340876,3346694229,2043245436,1876482308,11,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,87,true,0.5094000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,4,stern judging,0.5096240000000001,Disc,100,3413588362,3410276037,988999357,1092160006,13,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,90,true,0.49019999999999997,10,output/fixation_paper_multitype_final.csv,123,0.1,2,stern judging,0.507308,Disc,100,2975585007,2510377535,2000219535,115323781,10,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,99,true,0.7389999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,7,stern judging,0.508772,Disc,100,467487861,1064087524,2404373149,4052207910,1,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,0.9838000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,7,stern judging,0.49853200000000003,AllD,100,2965422559,837590782,1359513328,3067387169,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,99,true,0.9859999999999998,10,output/fixation_paper_multitype_final.csv,123,0.1,8,stern judging,0.5029279999999999,AllD,100,2477149355,278142066,2804006621,1852461561,1,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,90,true,0.49879999999999997,10,output/fixation_paper_multitype_final.csv,123,0.1,7,stern judging,0.507772,Disc,100,593229261,3623961819,4069151275,3494409329,10,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,0.9854,10,output/fixation_paper_multitype_final.csv,123,0.1,6,stern judging,0.50078,AllD,100,2925611719,757611393,3082452714,244896182,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,92,true,0.5014,10,output/fixation_paper_multitype_final.csv,123,0.1,8,stern judging,0.506032,Disc,100,3094271954,160937628,2738019839,3892085964,8,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,97,true,0.7443999999999998,10,output/fixation_paper_multitype_final.csv,123,0.1,3,stern judging,0.5071680000000001,Disc,100,2394741560,155481102,1675257903,1125662500,3,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,97,true,0.7397999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,10,stern judging,0.507692,Disc,100,3913986588,977968592,2019197571,1643815262,3,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,0.983,10,output/fixation_paper_multitype_final.csv,123,0.1,9,stern judging,0.5020600000000001,AllD,100,1782424626,2179447094,1664771370,1727639570,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,99,true,0.7394,10,output/fixation_paper_multitype_final.csv,123,0.1,9,stern judging,0.508984,Disc,100,2718039288,4029003726,839009843,4071681473,1,0.02,0.02,0.0,1.0
